date,pitão,"computação avançada",programação,"sistemas computacionais",codificação,"Computação em nuvem"
2015-05-28,0,0,44,0,0,0
2015-05-29,0,0,57,0,2,0
2015-05-30,0,0,49,0,0,0
2015-05-31,0,0,46,0,0,0
2015-06-01,0,0,45,0,0,0
2015-06-02,0,0,440,0,7,0
2015-06-03,0,0,468,0,7,0
2015-06-04,0,0,531,0,7,0
2015-06-05,0,0,1015,0,18,0
2015-06-06,0,0,974,0,18,0
2015-06-07,0,0,976,0,18,0
2015-06-08,0,0,973,0,18,0
2015-06-09,0,0,896,0,17,0
2015-06-10,0,0,837,0,15,0
2015-06-11,0,0,790,0,12,0
2015-06-12,0,0,962,0,15,0
2015-06-13,0,0,1007,0,18,0
2015-06-14,0,0,1007,0,16,0
2015-06-15,0,0,986,0,16,0
2015-06-16,0,0,953,0,16,0
2015-06-17,0,0,1037,0,16,0
2015-06-18,0,0,1074,0,17,0
2015-06-19,0,0,1028,0,18,0
2015-06-20,0,0,1034,0,18,0
2015-06-21,0,0,1024,0,16,0
2015-06-22,0,0,967,0,14,0
2015-06-23,0,0,981,0,15,0
2015-06-24,0,0,1013,0,14,0
2015-06-25,0,0,990,0,15,0
2015-06-26,0,0,977,0,14,0
2015-06-27,0,0,995,0,13,0
2015-06-28,0,0,1003,0,13,0
2015-06-29,0,0,995,0,13,0
2015-06-30,0,0,993,0,12,0
2015-07-01,0,0,991,0,12,0
2015-07-02,0,0,1011,0,17,0
2015-07-03,0,0,1003,0,18,0
2015-07-04,0,0,987,0,18,0
2015-07-05,0,0,965,0,18,0
2015-07-07,0,0,973,0,19,0
2015-07-08,0,0,992,0,20,0
2015-07-09,0,0,981,0,20,0
2015-07-10,0,0,989,0,20,0
2015-07-11,0,0,991,0,18,0
2015-07-12,0,0,981,0,18,0
2015-07-13,0,0,978,0,19,0
2015-07-14,0,0,971,0,19,0
2015-07-15,0,0,988,0,19,0
2015-07-16,0,0,1005,0,19,0
2015-07-17,0,0,1043,0,19,0
2015-07-18,0,0,1045,0,19,0
