date,python,"advanced computing",programming,"computational systems",coding,"Cloud computing"
2015-03-11,1039,2,2950,4,1179,732
2015-03-12,1055,2,3016,4,1211,742
2015-03-16,1117,2,3064,4,1278,750
2015-03-18,1165,2,3114,3,1303,749
2015-03-18,1165,2,3127,3,1308,753
2015-03-19,1165,2,3154,0,1298,773
2015-03-20,1160,2,3156,3,1298,773
2015-03-21,1162,2,3148,3,1288,772
2015-03-22,1157,2,3134,3,1280,769
2015-03-23,1148,2,3132,3,1275,789
2015-03-24,1167,2,3122,3,1263,791
2015-03-25,1156,2,3094,3,1249,785
2015-03-26,1149,2,3155,3,1275,808
2015-03-27,1130,2,3213,3,1264,797
2015-03-28,1134,2,3152,3,1244,796
2015-03-29,1138,2,3149,3,1255,804
2015-03-30,1138,2,3156,0,1255,800
2015-03-31,1131,2,3145,0,1254,778
2015-04-01,1076,3,3319,0,1235,761
2015-04-02,1048,5,3317,0,1230,766
2015-04-03,1037,5,3266,0,1216,781
2015-04-04,1037,5,3313,0,1196,762
2015-04-05,1049,5,3228,0,1208,741
2015-04-06,1062,5,3282,0,1217,728
2015-04-07,1094,5,3396,0,1258,721
2015-04-08,1137,5,3629,0,1358,778
2015-04-09,1121,3,3569,0,1323,771
2015-04-10,1132,0,3573,0,1329,767
2015-04-11,1126,0,3318,0,1293,762
2015-04-12,1118,0,3307,0,1283,759
2015-04-13,1120,0,3323,0,1300,769
2015-04-14,1154,0,3306,0,1304,1200
2015-04-15,1175,0,3349,0,1325,1199
2015-04-16,1177,0,3331,0,1322,1201
2015-04-17,1246,0,3576,0,1410,1214
2015-04-18,1590,0,5071,0,2338,1275
2015-04-19,1808,0,6141,0,2890,1305
2015-04-20,1800,2,5998,0,2800,1308
2015-04-21,1142,0,3238,0,1324,1112
2015-04-22,1138,0,3172,0,1295,1109
2015-04-23,1129,0,3158,0,1294,1165
2015-04-24,1144,2,3155,0,1302,1182
2015-04-25,1144,2,3175,0,1285,1192
2015-04-26,1139,2,3154,0,1313,1131
