date,Python,"Advanced Computing",Programmierung,Rechensysteme,Verschlüsselung,"Cloud Computing"
2015-05-28,24,0,87,0,0,8
2015-05-28,24,0,87,0,0,8
2015-05-29,24,0,93,0,0,8
2015-05-30,24,0,92,0,0,7
2015-05-31,24,0,91,0,0,7
2015-06-01,24,0,88,0,0,8
2015-06-02,24,0,88,0,0,8
2015-06-03,26,0,90,0,0,9
2015-06-04,24,0,86,0,0,9
2015-06-05,24,0,89,0,0,9
2015-06-06,24,0,88,0,0,10
2015-06-07,24,0,89,0,0,10
2015-06-08,24,0,89,0,0,9
2015-06-09,24,0,93,0,0,8
2015-06-10,22,0,88,0,0,8
2015-06-11,22,0,86,0,0,8
2015-06-12,23,0,81,0,0,8
2015-06-13,22,0,79,0,0,8
2015-06-14,22,0,79,0,0,8
2015-06-15,22,0,81,0,0,8
2015-06-16,23,0,85,0,0,9
