date,Python,"Advanced Computing",Programmierung,Rechensysteme,Verschlüsselung,"Cloud Computing"
2015-05-28,5,0,0,0,0,25
2015-05-28,5,0,0,0,0,25
2015-05-29,6,0,0,0,0,31
2015-05-30,10,0,0,0,0,50
2015-05-31,15,0,0,0,0,69
2015-06-01,15,0,0,0,0,69
2015-06-02,16,0,0,0,0,69
2015-06-03,14,0,0,0,0,70
2015-06-04,14,0,0,0,0,76
2015-06-05,14,0,0,0,0,74
2015-06-06,14,0,0,0,0,74
2015-06-07,13,0,0,0,0,74
2015-06-08,15,0,0,0,0,73
2015-06-09,19,0,0,0,0,71
2015-06-10,19,0,0,0,0,72
2015-06-11,19,0,0,0,0,72
2015-06-12,18,0,0,0,0,73
2015-06-13,18,0,0,0,0,72
2015-06-14,18,0,0,0,0,71
2015-06-15,18,0,0,0,0,71
2015-06-16,16,0,0,0,0,70
2015-06-17,18,0,0,0,0,77
2015-06-18,18,0,0,0,0,78
2015-06-19,18,0,0,0,0,76
2015-06-20,18,0,0,0,0,76
2015-06-21,18,0,0,0,0,75
2015-06-22,18,0,0,0,0,75
2015-06-23,18,0,0,0,0,76
2015-06-24,18,0,0,0,0,77
2015-06-25,18,0,0,0,0,77
2015-06-26,18,0,0,0,0,78
2015-06-27,18,0,0,0,0,76
2015-06-28,18,0,0,0,0,76
2015-06-29,18,0,0,0,0,78
2015-06-30,17,0,0,0,0,78
2015-07-01,17,0,0,0,0,74
2015-07-02,17,0,0,0,0,74
2015-07-03,18,0,0,0,0,74
2015-07-04,15,0,0,0,0,72
2015-07-05,15,0,0,0,0,72
2015-07-07,15,0,0,0,0,72
2015-07-08,16,0,0,0,0,73
2015-07-09,18,0,0,0,0,73
2015-07-10,16,0,0,0,0,71
2015-07-11,16,0,0,0,0,70
2015-07-12,16,0,0,0,0,71
2015-07-13,18,0,0,0,0,71
2015-07-14,18,0,0,0,0,71
2015-07-15,19,0,0,0,0,70
2015-07-16,18,0,0,0,0,72
2015-07-17,17,0,0,0,0,73
2015-07-18,16,0,0,0,0,73
