date,Python,"Advanced Computing",Programmierung,Rechensysteme,Verschlüsselung,"Cloud Computing"
2015-05-28,141,0,0,0,0,64
2015-05-28,142,0,0,0,0,64
2015-05-29,149,0,0,0,0,67
2015-05-30,147,0,0,0,0,66
2015-05-31,143,0,0,0,0,64
2015-06-01,140,0,0,0,0,62
2015-06-02,142,0,0,0,0,68
2015-06-03,149,0,0,0,0,69
2015-06-04,147,0,0,0,0,68
2015-06-05,150,0,0,0,0,72
2015-06-06,148,0,0,0,0,71
2015-06-07,138,0,0,0,0,70
2015-06-08,144,0,0,0,0,72
2015-06-09,145,0,0,0,0,75
2015-06-10,148,0,0,0,0,77
2015-06-11,149,0,0,0,0,76
2015-06-12,152,0,0,0,0,78
2015-06-13,148,0,0,0,0,77
2015-06-14,145,0,0,0,0,77
2015-06-15,145,0,0,0,0,78
2015-06-16,149,0,0,0,0,71
2015-06-17,144,0,0,0,0,70
2015-06-18,143,0,0,0,0,71
2015-06-19,139,0,0,0,0,72
2015-06-20,131,0,0,0,0,70
2015-06-21,130,0,0,0,0,69
