date,python,"advanced computing",programming,"computational systems",coding,"Cloud computing"
2015-05-28,324,0,413,0,156,300
2015-05-29,324,0,427,0,159,322
2015-05-30,327,0,435,0,164,318
2015-05-31,326,0,432,0,160,318
2015-06-01,320,0,419,0,161,317
2015-06-02,326,0,421,0,164,332
2015-06-03,332,0,429,0,164,322
2015-06-04,337,0,435,0,170,325
2015-06-05,341,0,442,0,171,331
2015-06-06,342,0,439,0,178,327
2015-06-07,339,0,432,0,178,320
2015-06-08,338,0,442,0,178,317
2015-06-09,352,0,448,0,173,324
2015-06-10,358,0,448,0,181,328
2015-06-11,361,0,452,0,176,324
2015-06-12,354,0,442,0,173,326
2015-06-13,356,0,432,0,169,324
2015-06-14,354,0,433,0,172,325
2015-06-15,354,0,436,0,175,324
2015-06-16,357,0,442,0,181,332
2015-06-17,359,0,438,0,179,342
2015-06-18,361,0,435,0,182,346
2015-06-19,369,0,433,0,183,345
2015-06-20,365,0,431,0,185,346
2015-06-21,365,0,426,0,185,344
2015-06-22,365,0,428,0,186,341
2015-06-23,367,0,424,0,188,345
2015-06-24,363,0,415,0,185,337
2015-06-25,360,0,420,0,189,346
2015-06-26,361,0,414,0,190,344
2015-06-27,361,0,415,0,189,334
2015-06-28,363,0,411,0,185,336
2015-06-29,361,0,410,0,186,337
2015-06-30,386,0,434,0,197,349
2015-07-01,385,0,439,0,198,338
2015-07-02,384,0,440,0,188,346
2015-07-03,374,0,422,0,186,339
2015-07-04,372,0,422,0,187,337
2015-07-05,378,0,423,0,195,337
2015-07-07,398,0,434,0,202,341
2015-07-08,405,0,441,0,199,334
2015-07-09,380,0,417,0,200,338
2015-07-10,383,0,416,0,197,339
2015-07-11,376,0,403,0,195,332
2015-07-12,374,0,399,0,192,331
2015-07-13,378,0,405,0,194,331
2015-07-14,391,0,407,0,201,337
2015-07-15,387,0,405,0,200,322
2015-07-16,387,0,415,0,204,328
2015-07-17,380,0,423,0,207,332
2015-07-18,377,0,418,0,204,331
2015-07-19,388,0,433,0,209,331
2015-07-20,387,0,437,0,208,331
2015-07-21,376,0,442,0,205,333
2015-07-22,377,0,441,0,198,319
2015-07-23,377,0,441,0,193,301
2015-07-24,0,0,0,0,0,0
2015-07-25,0,0,0,0,0,0
2015-07-26,0,0,0,0,0,0
2015-07-27,0,0,0,0,0,0
2015-07-28,0,0,0,0,0,0
2015-07-29,0,0,0,0,0,0
