date,python,"napredno računalništvo",programiranje,"računalniški sistemi",kodiranje,"Cloud computing"
2015-05-28,2,0,0,0,0,0
2015-05-29,2,0,0,0,0,0
2015-05-30,2,0,0,0,0,0
2015-05-31,2,0,0,0,0,0
2015-06-01,2,0,0,0,0,0
2015-06-02,2,0,0,0,0,0
2015-06-03,2,0,0,0,0,0
2015-06-04,2,0,0,0,0,0
2015-06-05,2,0,0,0,0,0
2015-06-06,2,0,0,0,0,0
2015-06-07,2,0,0,0,0,0
2015-06-08,2,0,0,0,0,0
2015-06-09,0,0,0,0,0,0
2015-06-10,0,0,0,0,0,0
2015-06-11,3,0,0,0,0,0
2015-06-12,3,0,0,0,0,0
2015-06-13,3,0,0,0,0,0
2015-06-14,3,0,0,0,0,0
2015-06-15,3,0,0,0,0,0
2015-06-16,3,0,0,0,0,0
