date,krajta,"moderní výpočetní",Programování,"výpočetní systémy",kódování,"Cloud computing"
2015-05-28,0,0,17,0,0,21
2015-05-29,0,0,16,0,2,20
2015-05-30,0,0,16,0,2,20
2015-05-31,0,0,16,0,2,20
2015-06-01,0,0,16,0,2,20
2015-06-02,0,0,16,0,2,21
2015-06-03,0,0,18,0,3,21
2015-06-04,0,0,18,0,3,21
2015-06-05,0,0,18,0,3,19
2015-06-06,0,0,18,0,3,19
2015-06-07,0,0,18,0,3,19
2015-06-08,0,0,19,0,3,20
2015-06-09,0,0,18,0,3,20
2015-06-10,0,0,18,0,3,20
2015-06-11,0,0,18,0,3,19
2015-06-12,0,0,17,0,3,19
2015-06-13,0,0,16,0,3,17
2015-06-14,0,0,16,0,3,17
2015-06-15,0,0,16,0,3,17
2015-06-16,0,0,18,0,3,19
2015-06-17,0,0,17,0,3,22
2015-06-18,0,0,17,0,3,22
2015-06-19,0,0,17,0,3,21
2015-06-20,0,0,18,0,3,21
2015-06-21,0,0,18,0,3,20
2015-06-22,0,0,18,0,3,19
2015-06-23,0,0,18,0,3,20
2015-06-24,0,0,17,0,3,21
2015-06-25,0,0,16,0,3,22
2015-06-26,0,0,141,0,4,22
2015-06-27,0,0,279,0,5,27
2015-06-28,0,0,375,0,5,31
2015-06-29,0,0,380,0,5,31
2015-06-30,0,0,389,0,5,29
2015-07-01,0,0,347,0,5,30
2015-07-02,0,0,390,0,5,32
2015-07-03,0,0,384,0,4,34
2015-07-04,0,0,382,0,4,34
2015-07-05,0,0,368,0,4,34
2015-07-07,0,0,376,0,4,35
2015-07-08,0,0,357,0,4,36
2015-07-09,0,0,356,0,3,39
2015-07-10,0,0,355,0,3,41
2015-07-11,0,0,351,0,3,36
2015-07-12,0,0,363,0,3,36
2015-07-13,0,0,357,0,4,35
2015-07-14,0,0,365,0,5,37
2015-07-15,0,0,367,0,3,36
2015-07-16,0,0,361,0,3,40
2015-07-17,0,0,366,0,3,41
2015-07-18,0,0,368,0,3,41
2015-07-19,0,0,355,0,3,40
2015-07-20,0,0,356,0,4,39
2015-07-21,0,0,387,0,4,34
2015-07-22,0,0,382,0,4,39
2015-07-23,0,0,406,0,4,41
2015-07-24,0,0,0,0,0,0
2015-07-25,0,0,0,0,0,0
2015-07-26,0,0,0,0,0,0
2015-07-27,0,0,0,0,0,0
2015-07-28,0,0,0,0,0,0
2015-07-29,0,0,0,0,0,0
