date,pitón,"computación avanzada",programación,"sistemas computacionales",codificación,"Computación en la nube"
2015-05-28,3,0,908,0,30,3
2015-05-29,3,0,955,0,29,3
2015-05-30,3,0,901,0,26,3
2015-05-31,3,0,887,0,30,3
2015-06-01,3,0,835,0,31,3
2015-06-02,3,0,848,0,30,3
2015-06-03,3,0,899,0,84,2
2015-06-04,3,0,1070,0,101,2
2015-06-05,3,0,1015,0,103,2
2015-06-06,3,0,1134,0,59,2
2015-06-07,3,0,1164,0,49,2
2015-06-08,3,0,1064,0,100,2
2015-06-09,3,0,1089,0,98,2
2015-06-10,3,0,1158,0,49,2
2015-06-11,3,0,1189,0,45,2
2015-06-12,5,0,1190,0,47,2
2015-06-13,3,0,1063,0,48,2
2015-06-14,3,0,1096,0,49,2
2015-06-15,3,0,1135,0,47,2
2015-06-16,3,0,1034,0,46,2
2015-06-17,3,0,1019,0,41,2
2015-06-18,3,0,1052,0,44,2
2015-06-19,3,0,1152,0,40,2
2015-06-20,3,0,1147,0,41,2
2015-06-21,4,0,1178,0,40,2
2015-06-22,4,0,1138,0,43,2
2015-06-23,4,0,1172,0,43,2
2015-06-24,4,0,1157,0,42,2
2015-06-25,4,0,835,0,32,0
