date,"Goldman Sachs","Bank of America","Xpat Jobs.com"
2015-04-19,,,5
2015-04-20,5,,5
2015-04-21,5,,
2015-04-22,5,,
2015-04-23,5,,
2015-04-24,5,,
2015-04-25,5,,
2015-04-26,5,,
2015-04-27,5,,
2015-04-28,5,,
2015-04-29,5,,
2015-04-30,5,,
2015-05-01,5,,
2015-05-02,5,,
2015-05-03,5,,
2015-05-04,5,,
2015-05-05,5,,
2015-05-06,5,,
2015-05-07,5,,
2015-05-08,5,,
2015-05-09,5,,
2015-05-10,5,,
2015-05-11,5,,
2015-05-12,5,,
2015-05-13,5,,
2015-05-14,5,,
2015-05-15,6,,
2015-05-16,6,,
2015-05-17,6,,
2015-05-18,6,,
2015-05-20,6,,
2015-05-21,6,,
2015-05-22,6,,
2015-05-23,6,,
2015-05-24,6,,
2015-05-29,6,,
2015-05-30,6,,
2015-05-31,6,,
2015-06-01,6,5,
2015-06-02,6,5,
2015-06-03,6,5,
2015-06-04,6,5,
2015-06-05,,5,
2015-06-06,,5,
2015-06-07,,5,
2015-06-08,,6,
2015-06-09,,5,
2015-06-10,,5,
2015-06-25,5,,
2015-06-26,5,,
2015-06-27,5,,
2015-06-28,5,,
2015-06-29,7,,
2015-06-30,5,,
2015-07-01,7,,
2015-07-02,7,,
