date,Quintiles,"SVB Financial Group","Financial Conduct Authority","Xpat Jobs.com",EY,"JPMorgan Chase &amp; Co."
2015-03-11,,,,,,10
2015-03-12,,,,,5,10
2015-03-16,,,,,5,10
2015-03-18,,,,,5,11
2015-03-18,,,,,,11
2015-03-19,,,,,5,11
2015-03-20,,,,,5,11
2015-03-21,,,,,5,11
2015-03-22,,,,,5,11
2015-03-23,,,,,5,11
2015-03-24,,,,,5,11
2015-03-25,,,,,5,11
2015-03-26,,,,,5,10
2015-03-27,,,,,5,10
2015-03-28,,,,,5,10
2015-03-29,,,,,5,10
2015-03-30,,,,,5,10
2015-03-31,5,,,,5,9
2015-04-01,5,,,,5,
2015-04-02,5,,,,5,
2015-04-03,5,,,,5,
2015-04-04,5,,,,5,
2015-04-05,5,,,,5,
2015-04-06,5,,,,5,
2015-04-07,5,,,,5,
2015-04-08,5,,,,5,
2015-04-09,5,,,,5,
2015-04-10,5,,,,5,
2015-04-11,5,5,,,5,
2015-04-12,5,5,,,5,
2015-04-13,5,5,,,,
2015-04-14,5,5,,,,
2015-04-15,5,5,,,,
2015-04-16,5,5,,,,
2015-04-17,5,5,,,,
2015-04-18,5,5,,19,,
2015-04-19,5,5,,24,,
2015-04-20,5,5,,21,,
2015-04-21,5,5,,,,
2015-04-22,5,5,,,,
2015-04-24,,5,,,,
2015-04-25,,6,,,,
2015-04-27,5,6,,,,
2015-04-28,5,6,,,,
2015-04-29,5,6,,,,
2015-04-30,5,6,5,,,
2015-05-01,6,5,,,,
2015-05-02,6,5,,,,
2015-05-03,6,5,,,,
