date,Wroclaw,Cracow,Warsaw,Gdansk,Lodz,"Hungary area","See More",Poznan,Rzeszow,Prague,"Kuyavian-Pomeranian District","Pomeranian District","Swietokrzyskie District",Bialystok,"Silesian District"
2015-05-28,5,31,13,,,,,5,,,,,,,
2015-05-29,5,32,13,,,,,5,,,,,,,
2015-05-30,5,32,12,,,,,5,,,,,,,
2015-05-31,5,32,12,,,,,5,,,,,,,
2015-06-01,5,30,13,,,,,5,,,,,,,
2015-06-02,5,27,13,,,,,6,,,,,,,
2015-06-03,5,28,12,,,,,6,,,,,,,
2015-06-04,5,29,14,,,,,5,,,,,,,
2015-06-05,5,27,13,,,,,5,,,,,,,
2015-06-06,5,27,13,,,,,5,,,,,,,
2015-06-07,5,27,13,,,,,,,,,,,,
2015-06-08,5,27,13,,,,,,,,,,,,
2015-06-09,6,33,12,,,,,,,,,,,,
2015-06-10,7,33,13,,,,,,,,,,,,
2015-06-11,6,32,12,,,,,,,,,,,,
2015-06-12,5,34,12,,,,,,,,,,,,
2015-06-13,5,34,12,,,,,,,,,,,,
2015-06-14,5,34,12,,,,,,,,,,,,
2015-06-15,5,35,12,,,,,,,,,,,,
2015-06-16,5,36,13,,,,,,,,,,,,
2015-06-17,,31,13,,,,,,,,,,,,
2015-06-18,,32,13,,,,,,,,,,,,
2015-06-19,,33,12,,,,,,,,,,,,
2015-06-20,,33,12,,,,,,,,,,,,
2015-06-21,,33,12,,,,,,,,,,,,
2015-06-22,,30,12,,,,,,,,,,,,
2015-06-23,,32,12,,,,,,,,,,,,
2015-06-24,,33,12,,,,,,,,,,,,
2015-06-25,,33,12,,,,,,,,,,,,
2015-06-26,5,33,28,,,,,,,,,,,,
2015-06-27,75,49,65,13,,,6,6,,,145,10,,,
2015-06-28,97,79,82,14,6,,5,6,5,,143,19,,6,5
2015-06-29,94,76,81,15,6,,5,,5,,145,20,6,,5
2015-06-30,95,77,87,19,7,,5,,5,,145,20,7,7,5
2015-07-01,95,79,88,17,7,,5,,,,145,22,7,6,5
2015-07-02,95,81,90,18,,,,,,,,,,,
2015-07-03,103,81,92,20,,6,6,,,7,,,,,
2015-07-04,113,86,94,24,,6,6,,,7,,,,,
2015-07-05,112,86,92,22,,6,6,,,7,,,,,
2015-07-07,112,86,97,17,,10,10,,,10,,,,,
2015-07-08,112,87,98,18,,,5,7,,5,,,,,
2015-07-09,116,81,97,18,,11,11,,,11,,,,,
2015-07-10,116,77,97,19,,12,11,,,11,,,,,
2015-07-11,115,78,100,20,10,,7,7,7,,,,,,
2015-07-12,112,76,105,20,10,,7,7,7,,,,,,
2015-07-13,107,78,78,19,10,,7,7,7,,,,,,
2015-07-14,106,82,74,19,10,,7,7,7,,,,,,
2015-07-15,104,82,75,16,10,5,5,,,,,,,,
2015-07-16,106,85,73,16,10,7,7,,,,,,,,
2015-07-17,107,87,75,32,10,8,8,,,,,,,,
