date,London,Slough,Edinburgh,Manchester,Bristol,Reading,Southall,Guildford,Cambridge,Twickenham,Glasgow,Birmingham,Oxford,Brighton,"See More",Nottingham
2015-03-11,390,49,15,14,24,27,23,25,24,14,14,15,15,,14,16
2015-03-12,409,36,23,19,24,26,24,27,23,14,14,16,15,,14,15
2015-03-16,456,37,26,26,23,26,29,28,24,17,,14,18,14,14,17
2015-03-18,464,37,26,29,23,23,27,27,25,19,,15,19,15,15,18
2015-03-18,470,37,26,29,23,23,27,28,25,19,,15,19,15,15,18
2015-03-19,475,37,29,32,24,26,27,27,26,19,,17,19,17,17,18
2015-03-20,504,37,37,40,27,29,18,25,29,19,,15,19,17,15,18
2015-03-21,501,37,30,33,27,25,27,25,28,19,,17,18,16,16,19
2015-03-22,497,37,30,33,27,25,27,25,27,19,,17,18,16,16,19
2015-03-23,502,34,30,33,27,26,27,24,24,19,,16,18,16,16,17
2015-03-24,488,36,33,31,28,28,27,24,21,21,20,19,18,17,17,
