date,London,Birmingham,Reading,Manchester,Leeds,Slough,Oxford,Cambridge,Bristol,Glasgow,Nottingham,Edinburgh,Coventry,"Milton Keynes","See More",Cardiff,Sheffield,Chelmsford
2015-03-11,1127,146,126,118,74,79,66,69,68,67,,,76,60,56,61,56,
2015-03-12,1187,186,141,139,89,76,85,73,79,,,,93,73,64,83,67,64
2015-03-16,1184,181,134,147,93,80,88,76,80,68,,,98,80,68,76,74,
2015-03-18,1161,158,127,125,91,82,83,72,79,62,62,,67,,62,65,72,
2015-03-18,1162,155,127,124,92,79,85,70,79,62,,61,65,,59,59,69,
2015-03-19,1197,159,128,126,86,80,91,78,78,65,63,,65,,61,61,62,
2015-03-20,1205,180,131,134,88,82,95,79,82,69,66,,71,,64,68,64,
2015-03-21,1196,180,132,133,89,81,94,80,81,69,66,,71,,65,68,65,
2015-03-22,1186,177,132,132,89,79,94,79,81,69,66,,71,,65,68,65,
2015-03-23,1197,176,136,132,87,74,91,78,81,72,67,,69,,64,69,64,
2015-03-24,1130,163,134,117,85,79,78,75,74,73,64,62,61,59,59,,,
