date,Zürich,Geneva,Basel
2015-05-28,30,8,
2015-05-28,30,7,
2015-05-29,22,7,
2015-05-30,22,7,
2015-05-31,22,7,
2015-06-01,25,5,5
2015-06-02,22,6,5
2015-06-03,26,,5
2015-06-04,31,6,6
2015-06-05,32,6,5
2015-06-06,31,6,5
2015-06-07,30,6,5
2015-06-08,28,6,5
2015-06-09,31,9,
2015-06-10,29,13,
2015-06-11,28,12,
2015-06-12,28,9,
2015-06-13,33,9,
2015-06-14,33,9,
2015-06-15,31,10,
2015-06-16,33,10,
2015-06-17,34,10,
2015-06-18,34,12,
2015-06-19,34,11,
2015-06-20,34,13,
2015-06-21,34,12,
2015-06-22,35,13,
2015-06-23,36,12,
2015-06-24,36,10,
2015-06-25,37,11,
2015-06-26,37,13,
2015-06-27,37,13,
2015-06-28,37,12,
2015-06-29,39,12,
2015-06-30,41,12,
