date,"ciência dados","big data","dados abertos"
2015-05-28,0,10,0
2015-05-29,0,11,0
2015-05-30,0,11,0
2015-05-31,0,11,0
2015-06-01,0,11,0
2015-06-02,0,36,0
2015-06-03,0,33,0
2015-06-04,0,40,0
2015-06-05,0,41,0
2015-06-06,0,40,0
2015-06-07,0,41,0
2015-06-08,0,42,0
2015-06-09,0,39,0
2015-06-10,0,36,0
2015-06-11,0,36,0
2015-06-12,0,41,0
2015-06-13,0,43,0
2015-06-14,0,44,0
2015-06-15,0,43,0
2015-06-16,0,40,0
2015-06-17,0,42,0
2015-06-18,0,43,0
2015-06-19,0,41,0
2015-06-20,0,41,0
2015-06-21,0,40,0
2015-06-22,0,38,0
2015-06-23,0,38,0
2015-06-24,0,40,0
2015-06-25,0,40,0
2015-06-26,0,38,0
2015-06-27,0,37,0
2015-06-28,0,39,0
2015-06-29,0,37,0
2015-06-30,0,39,0
2015-07-01,0,40,0
2015-07-02,0,41,0
2015-07-03,0,41,0
2015-07-04,0,43,0
2015-07-05,0,44,0
2015-07-07,0,44,0
2015-07-08,0,44,0
2015-07-09,0,43,0
2015-07-10,0,43,0
2015-07-11,0,45,0
2015-07-12,0,44,0
2015-07-13,0,43,0
2015-07-14,0,44,0
2015-07-15,0,44,0
2015-07-16,0,43,0
2015-07-17,0,46,0
2015-07-18,0,47,0
2015-07-19,0,48,0
2015-07-20,0,46,0
2015-07-21,0,44,0
2015-07-22,0,47,0
2015-07-23,0,48,0
2015-07-24,0,0,0
