date,"data scientist","Big Data","otwarte dane"
2015-05-28,8,69,0
2015-05-29,8,68,0
2015-05-30,8,67,0
2015-05-31,8,67,0
2015-06-01,8,67,0
2015-06-02,8,65,0
2015-06-03,8,65,0
2015-06-04,8,68,0
2015-06-05,7,65,0
2015-06-06,7,65,0
2015-06-07,7,64,0
2015-06-08,7,63,0
2015-06-09,7,69,0
2015-06-10,6,70,0
2015-06-11,7,67,0
2015-06-12,7,68,0
2015-06-13,7,68,0
2015-06-14,7,66,0
2015-06-15,7,68,0
2015-06-16,7,70,0
2015-06-17,5,66,0
2015-06-18,5,66,0
