date,Lisbon,Porto
2015-06-02,19,
2015-06-03,21,
2015-06-04,25,
2015-06-05,57,5
2015-06-06,56,5
2015-06-07,56,5
2015-06-08,55,5
2015-06-09,51,5
2015-06-10,51,6
2015-06-11,50,6
2015-06-12,57,8
2015-06-13,57,8
2015-06-14,55,8
2015-06-15,54,8
2015-06-16,51,8
2015-06-17,59,8
2015-06-18,59,8
2015-06-19,58,8
2015-06-20,59,8
2015-06-21,60,8
2015-06-22,58,6
2015-06-23,61,6
2015-06-24,61,7
2015-06-25,62,7
2015-06-26,59,7
2015-06-27,67,7
2015-06-28,67,7
2015-06-29,67,7
2015-06-30,67,6
2015-07-01,65,6
2015-07-07,62,
2015-07-08,64,
2015-07-09,60,
2015-07-10,62,
2015-07-11,63,
2015-07-12,63,
2015-07-13,62,
2015-07-14,61,
2015-07-15,61,
2015-07-16,61,
2015-07-17,60,
2015-07-18,63,
2015-07-19,63,
