date,Milan,Rome,Bologna
2015-05-28,11,18,7
2015-05-29,10,17,6
2015-05-30,11,16,7
2015-05-31,10,16,
2015-06-01,10,18,6
2015-06-02,10,18,6
2015-06-03,10,19,7
2015-06-04,11,17,7
2015-06-05,12,,
2015-06-06,9,,
2015-06-07,8,,
2015-06-08,9,17,7
2015-06-09,8,16,6
2015-06-10,8,15,5
2015-06-11,9,15,5
2015-06-12,9,16,6
2015-06-13,9,16,6
2015-06-14,9,16,6
2015-06-15,9,15,8
2015-06-16,10,16,6
2015-06-17,8,16,6
2015-06-18,9,16,9
2015-06-19,9,16,8
2015-06-20,9,17,7
2015-06-21,8,17,5
2015-06-22,7,17,
2015-06-23,8,17,6
2015-06-24,7,17,
2015-06-25,8,15,
2015-06-26,10,15,5
2015-06-27,7,17,6
2015-06-28,8,17,6
2015-06-29,8,17,
2015-06-30,9,16,
2015-07-01,10,15,6
2015-07-02,8,15,
2015-07-03,7,16,
2015-07-04,7,16,
2015-07-05,7,16,
2015-07-07,9,16,
2015-07-08,10,14,
2015-07-09,10,14,
2015-07-10,9,14,
2015-07-11,9,13,
2015-07-12,8,13,
2015-07-13,10,13,
2015-07-14,11,13,
2015-07-15,11,14,
2015-07-16,11,14,
2015-07-17,13,13,
2015-07-18,13,13,
2015-07-19,14,12,
2015-07-20,14,11,
